/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,52.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;5.426494
1;SP GFLOPS;0.0
1;DP GFLOPS;0.726361
1;x87 GFLOPS;0.0
1;IPC;1.498575
1;Average CPU Frequency;2709327892.529213
1;Total Thread Count;
1;CPU Time;2.962267
0;Effective Physical Core Utilization;0.9% (0.554 out of 64)
1;Effective Logical Core Utilization;0.4% (0.546 out of 128)
0;Memory Bound;11.6
1;Cache Bound;11.9
1;DRAM Bound;0.2
1;NUMA: % of Remote Accesses;1.2
0;Vectorization;0.5
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;0.0
2;DP FLOPs;31.9
3;Packed;0.5
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.5
3;Scalar;99.5
2;x87 FLOPs;0.0
2;Non-FP;68.1
1;FP Arith/Mem Rd Instr. Ratio;0.789370
1;FP Arith/Mem Wr Instr. Ratio;2.204847
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.chute-long.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220703-1452
1;Result Size;3286319
1;Collection start time;16:05:11 03/07/2022 UTC
1;Collection stop time;16:05:17 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977835
2;Logical CPU Count;128
